Dataset_ID,Category,Obsdimension_Id,Obsdimension_Value,Obsvalue_Value,Source,Last_Updated
124_1157,istruzione,,2017,3414185890,ISTAT,2025-07-15
124_1157,istruzione,,2018,3561854369,ISTAT,2025-07-15
124_1157,istruzione,,2019,3766160266,ISTAT,2025-07-15
124_1157,istruzione,,2020,3537279810,ISTAT,2025-07-15
124_1157,istruzione,,2021,4025228783,ISTAT,2025-07-15
124_1157,istruzione,,2022,4819810257,ISTAT,2025-07-15
124_1157,istruzione,,2016,597948700,ISTAT,2025-07-15
124_1157,istruzione,,2017,572482671,ISTAT,2025-07-15
124_1157,istruzione,,2018,582488125,ISTAT,2025-07-15
124_1157,istruzione,,2019,561131970,ISTAT,2025-07-15
124_1157,istruzione,,2020,582484263,ISTAT,2025-07-15
124_1157,istruzione,,2021,645354303,ISTAT,2025-07-15
124_1157,istruzione,,2022,696665633,ISTAT,2025-07-15
124_1157,istruzione,,2016,597948700,ISTAT,2025-07-15
124_1157,istruzione,,2017,572482671,ISTAT,2025-07-15
124_1157,istruzione,,2018,582488125,ISTAT,2025-07-15
124_1157,istruzione,,2019,561131970,ISTAT,2025-07-15
124_1157,istruzione,,2020,582484263,ISTAT,2025-07-15
124_1157,istruzione,,2021,645354303,ISTAT,2025-07-15
124_1157,istruzione,,2022,696665633,ISTAT,2025-07-15
124_1157,istruzione,,2016,441525915,ISTAT,2025-07-15
124_1157,istruzione,,2017,421888346,ISTAT,2025-07-15
124_1157,istruzione,,2018,307507634,ISTAT,2025-07-15
124_1157,istruzione,,2019,320208037,ISTAT,2025-07-15
124_1157,istruzione,,2020,284958890,ISTAT,2025-07-15
124_1157,istruzione,,2021,294175222,ISTAT,2025-07-15
124_1157,istruzione,,2022,280176000,ISTAT,2025-07-15
124_1157,istruzione,,2016,441525915,ISTAT,2025-07-15
124_1157,istruzione,,2017,421888346,ISTAT,2025-07-15
124_1157,istruzione,,2018,307507634,ISTAT,2025-07-15
124_1157,istruzione,,2019,320208037,ISTAT,2025-07-15
124_1157,istruzione,,2020,284958890,ISTAT,2025-07-15
124_1157,istruzione,,2021,294175222,ISTAT,2025-07-15
124_1157,istruzione,,2022,280176000,ISTAT,2025-07-15
124_1157,istruzione,,2016,172634198,ISTAT,2025-07-15
124_1157,istruzione,,2017,148871492,ISTAT,2025-07-15
124_1157,istruzione,,2018,162711942,ISTAT,2025-07-15
124_1157,istruzione,,2019,111746715,ISTAT,2025-07-15
124_1157,istruzione,,2020,114168515,ISTAT,2025-07-15
124_1157,istruzione,,2021,130219698,ISTAT,2025-07-15
124_1157,istruzione,,2022,132569287,ISTAT,2025-07-15
124_1157,istruzione,,2016,172634198,ISTAT,2025-07-15
124_1157,istruzione,,2017,148871492,ISTAT,2025-07-15
124_1157,istruzione,,2018,162711942,ISTAT,2025-07-15
124_1157,istruzione,,2019,111746715,ISTAT,2025-07-15
124_1157,istruzione,,2020,114168515,ISTAT,2025-07-15
124_1157,istruzione,,2021,130219698,ISTAT,2025-07-15
124_1157,istruzione,,2022,132569287,ISTAT,2025-07-15
124_1157,istruzione,,2016,841882076,ISTAT,2025-07-15
124_1157,istruzione,,2017,939745231,ISTAT,2025-07-15
124_1157,istruzione,,2018,949617143,ISTAT,2025-07-15
124_1157,istruzione,,2019,865166698,ISTAT,2025-07-15
124_1157,istruzione,,2020,1295234052,ISTAT,2025-07-15
124_1157,istruzione,,2021,1359724459,ISTAT,2025-07-15
124_1157,istruzione,,2022,1228142463,ISTAT,2025-07-15
